id,title,views,date,url,content_type,game_name,content_name,topic,collab_flag,duration,start_stream,end_stream,note,Last Update
1,Fuyu Biyori,1615,26-September-2022,https://www.youtube.com/watch?v=k9xAu7R-KyA,Cover,,,Cover,FALSE,04:35,0,0,,DISCLAIMER: all of this is all based on twitter and youtube manual scraping
2,"Mendaki gunung, lewati~ 🎶",1731,26-September-2022,https://www.youtube.com/watch?v=XkUhPl_TMoM,Live,,,Debut,FALSE,00:55:54,20:00,20:55,,
3,Ngobrol manis gratis💜💜,733,30-September-2022,https://www.youtube.com/watch?v=ov_duICe7xU,Live,,,Free Talk,FALSE,02:17:52,21:00,23:17,,
4,Circle Empires Rivals - Mari Mencari Keributan,700,1-October-2022,https://www.youtube.com/watch?v=u0IxZBjtJmw,Live,Circle Empires Rivals,,Game,FALSE,04:02:20,20:00,00:02,,
5,Belajar Mencitaiku🍄,851,02-October-2022,https://youtu.be/jq_-g2PVrkc,Live,,Study With Me,Free Talk,FALSE,03:39:20,21:00,00:39,,
6,Berburu Sesuatu yang Tak Kasat Rasa,791,03-October-2022,https://www.youtube.com/watch?v=UnyG-FJp1OU,Live,Phasmophobia,,Game,TRUE,02:49:02,21:00,23:49,,
7,Pecahkan Saja Gelasnya Biar Pecah,555,04-October-2022,https://www.youtube.com/watch?v=r_PMuLo4mvE,Live,,,Free Talk,TRUE,01:34:41,20:30,22:04,,
8,Seberapa Menakutkan Cerita Horror Viewers? Part. 1,681,06-October-2022,https://www.youtube.com/watch?v=di_X8vCQTiM,Live,,Jurnal Dira,Free Talk,FALSE,03:13:43,21:00,00:13,,
9,Stardew Valley - Bertani bersama sama yuhu~,415,07-October-2022,https://www.youtube.com/watch?v=WOMxso-NZB8,Live,Stardew Valley,Guerilla,Game,TRUE,02:19:50,23:15,01:34,,
10,Berkenalan dengan Halus🍄,775,09-October-2022,https://www.youtube.com/watch?v=MatnltGLBEk,Live,,Study With Me,Free Talk,FALSE,04:08:16,20:00,00:08,,
11,Ngobrol pelan-pelan sebelum tidur,604,10-October-2022,https://www.youtube.com/watch?v=-7UBBT17w0M,Live,,Guerilla,Free Talk,FALSE,02:11:00,22:15,00:26,,
12,Getting Over It - Calme~,445,12-October-2022,https://www.youtube.com/watch?v=sDsopnkX3Q0,Live,Getting Over It,Guerilla,Game,FALSE,01:52:04,22:15,00:07,,
13,Seberapa Menakutkan Cerita Horror Viewers? Part. 2,473,13-October-2022,https://www.youtube.com/watch?v=24vL-jolk1w,Live,,Jurnal Dira,Free Talk,FALSE,02:24:36,21:00,23:24,,
14,Persahabatan bagai~,574,14-October-2022,https://youtu.be/F-wk70VAN5Y,Live,The Mimic,The Mimic,Game,TRUE,03:14:33,20:30,23:44,,
15,Belajar Mencitaiku Part. 2 (edisi gombalindira)🍄,610,16-October-2022,https://www.youtube.com/watch?v=A7pi7D5wd1U,Live,,Study With Me,Free Talk,FALSE,02:17:22,20:30,22:47,,
16,Cerita Hari Ini,639,17-October-2022,https://www.youtube.com/watch?v=Dd2t1i_9aBc,Live,,Guerilla,Free Talk,FALSE,02:51:52,21:30,00:21,,
17,Pemujaan untuk Pigeon Express~,559,18-October-2022,https://www.youtube.com/watch?v=aIWtjNrHX38,Live,Stardew Valley,Guerilla,Game,TRUE,02:34:42,20:50,23:24,,
18,Menginterogasi Silvia dan Yuura,869,21-October-2022,https://www.youtube.com/watch?v=rbST2qCrqYg,Live,,,Free Talk,TRUE,02:24:24,20:30,22:54,,
19,Bermain bersama Om Boxy jilid II,564,23-October-2022,https://www.youtube.com/watch?v=hapomMkAQL0,Live,Getting Over It,,Game,FALSE,03:02:02,13:00,16:02,,
20,"Makan siang, yuk?",694,24-October-2022,https://www.youtube.com/watch?v=e0V4y9__mn8,Live,,,Free Talk,FALSE,02:24:52,11:30,13:54,,
21,Mobile Legends,880,24-October-2022,https://www.youtube.com/watch?v=qlZXHr9sDXY,Live,Mobile Legends,Guerilla,Game,FALSE,04:00:26,19:00,23:00,,
22,Are you scared?,459,25-October-2022,https://www.youtube.com/watch?v=8O1f6brqki8,Live,Phasmophobia,,Game,TRUE,02:23:42,21:00,23:23,,
23,Mobile Legends Part2,397,25-October-2022,https://www.youtube.com/watch?v=u-ceC5XX45E,Live,Mobile Legends,Guerilla,Game,FALSE,02:11:56,00:00,02:11,,
24,untuk Beli Hero Mobile Legends (I'm not addicted!),685,28-October-2022,https://www.youtube.com/watch?v=_jXUquruPtQ,Live,Mobile Legends,Guerilla,Game,FALSE,01:46:52,16:30,18:16,,
25,Cerita sambil membuat jadwal,672,29-October-2022,https://www.youtube.com/watch?v=RwjqA2SFaJU,Live,,Guerilla,Free Talk,FALSE,02:25:34,22:30,00:55,,
26,Menguji Kekompakkan dengan Dinamo,433,30-October-2022,https://www.youtube.com/watch?v=jiqsllYePh8,Live,Stardew Valley,,Game,TRUE,02:34:12,20:00,22:34,,
27,Menyelamatkan dunia bersama komandan dan burung,663,01-November-2022,https://www.youtube.com/watch?v=X736NDMw-YY,Live,Mobile Legends,,Game,TRUE,02:21:22,20:00,22:21,,
28,Bermain legenda selular dan berbincang santai~,434,02-November-2022,https://www.youtube.com/watch?v=CPZG7D0Zer0,Live,Mobile Legends,Guerilla,Game,FALSE,03:09:24,23:30,02:39,,
29,Membahas hal ajaib bersama 2 makhluk misterius ,500,03-November-2022,https://www.youtube.com/watch?v=dY0RRaOXE3Y,Live,,Jurnal Dira,Free Talk,TRUE,02:21:00,19:00,21:21,,
30,"Hei kamu! Bangun yuk, udah pagi",783,04-November-2022,https://youtu.be/kT26VKDobvA,Live,,,Free Talk,FALSE,02:58:22,08:00,10:58,,
31,Quality Time with Yourdira,708,05-November-2022,https://youtu.be/-CyX9-GFuT8,Live,,,Free Talk,FALSE,03:41:20,20:00,23:41,,
32,mada mada,538,06-November-2022,https://www.youtube.com/watch?v=sDLQcpVcwcw,Live,Getting Over It,,Game,FALSE,02:43:33,19:30,22:13,,
33,Mari tersenyum bersamaku,780,08-November-2022,https://www.youtube.com/watch?v=t_8d2TUXvtA,Live,Dota 2,,Game,FALSE,04:46:22,20:00,00:46,,
34,Main Media Share xixixi,882,09-November-2022,https://www.youtube.com/watch?v=GSlXNoUbNsQ,Live,,,Free Talk,FALSE,03:15:33,19:30,22:45,,
35,Lalalalala~,303,10-November-2022,https://www.youtube.com/watch?v=v3HQHX-WIxU,Live,Don't Starve Together,,Game,TRUE,02:03:02,20:30,22:33,,
36,"Penting Sekali, Tolong~",432,10-November-2022,https://www.youtube.com/watch?v=lbSkWTmHP2Q,Live,,Guerilla,Free Talk,FALSE,01:46:45,23:45,01:31,,
37,:),657,11-November-2022,https://www.youtube.com/watch?v=rhhxXOO92iM,Live,,,Karaoke,FALSE,04:26:32,22:15,02:41,,
38,Ngobrol santai sambil bahas hal-hal seram,753,13-November-2022,https://www.youtube.com/watch?v=-h0ZTGE_x8w,Live,,Jurnal Dira,Free Talk,FALSE,03:07:37,21:30,00:37,,
39,Gimana hari Senin kamu?,768,14-November-2022,https://www.youtube.com/watch?v=9Mqas9A_HKY,Live,,Free Chat,Free Talk,FALSE,02:10:18,21:30,23:40,peak 100 views pog,https://twitter.com/diralarissa/status/1592198188559396866/photo/1
40,Latihan sebelum dibawa ke arena perang sesungguhnya sama Komandan O7,831,15-November-2022,https://www.youtube.com/watch?v=NSvqLfU5VOo,Live,Mobile Legends,,Game,TRUE,02:51:39,22:00,00:51,,
41,Menganalisa tipe pasangan ideal viewers,540,17-November-2022,https://www.youtube.com/watch?v=ts2a_eQGRn4,Live,,,Free Talk,FALSE,01:45:51,19:15,21:00,,
42,Yeay main sama Om Predi yuhu~,808,17-November-2022,https://www.youtube.com/watch?v=lovFwG2WsM8,Live,Five Nights at Freddy's,,Game,FALSE,03:32:57,21:30,01:02,,
43,Besok Senin?,460,20-November-2022,https://www.youtube.com/watch?v=Go4Cm2JVCSA,Live,Dota 2,,Game,TRUE,02:30:24,21:30,00:00,,
44,Aku takkan kelaparan lagi di game ini,406,22-November-2022,https://www.youtube.com/watch?v=F47BBckc5xg,Live,Don't Starve Together,,Game,TRUE,04:11:50,20:00,00:11,,
45,Duaar waktunya main bom bersama Nek Yuura (ex Yakuz*),354,23-November-2022,https://www.youtube.com/watch?v=vykVmkax1gY,Live,Keep Talking and Nobody Explodes,,Game,TRUE,01:46:58,22:30,00:16,,
46,Mau Kemana Kita?,624,24-November-2022,https://www.youtube.com/watch?v=QClmVpAOq0I,Live,,,Free Talk,FALSE,03:25:32,20:00,23:25,,
47,Main bersama kakakku @Altheria Claire,277,25-November-2022,https://www.youtube.com/watch?v=NFrijp9VNa4,Live,Phasmophobia,,Game,TRUE,01:39:21,20:30,22:09,,
48,Bangun sebentar yuk~,764,27-November-2022,https://www.youtube.com/watch?v=CyirNr6QIH8,Live,,,Free Talk,TRUE,02:33:19,08:00,10:33,,
49,Wagyu wagyu ajaib~ 🎶 ,332,27-November-2022,https://www.youtube.com/watch?v=M1-mCg92Sgg,Live,,,Free Talk,FALSE,01:08:44,19:00,20:08,,
50,LIVIUM DAYCARE,1419,28-November-2022,https://www.youtube.com/watch?v=AKkcYfo9RkA,Live,,,Collab,TRUE,02:10:58,20:00,22:10,,
51,Main lagi sama om Predi~,742,29-November-2022,https://www.youtube.com/watch?v=XhjJotRYSIk,Live,Five Nights at Freddy's,,Game,FALSE,03:56:36,20:00,23:56,,
52,Pakai topeng yang mana ya hari ini?,650,01-December-2022,https://www.youtube.com/watch?v=rvrlWutpMqY,Live,,Guerilla,Free Talk,FALSE,03:17:24,21:00,00:17,,
53,AYO KITA NGOBROL SECARA BAIK BAIK :),582,02-December-2022,https://www.youtube.com/watch?v=N7x72d-vN0I,Live,,,Free Talk,FALSE,02:32:13,21:00,23:32,,
54,Menjelajah hutan bersama para pahlawan Livium~,,03-December-2022,https://www.youtube.com/watch?v=CtXAL0sFr8k,Live,The Forest,,Game,TRUE,,21:00,,,
55,Belajar Menghilangkan Stress,634,06-December-2022,https://www.youtube.com/watch?v=jQait-YGzCM,Live,,Study With Me,Free Talk,FALSE,02:54:47,20:00,22:54,,
56,Bangunin Kamu Pagi-Pagi ,711,07-December-2022,https://www.youtube.com/watch?v=1DecJNY62Pw,Live,,,Free Talk,FALSE,02:56:30,07:00,09:56,,
57,Mencoba bermain main yey~,834,09-December-2022,https://www.youtube.com/watch?v=8p_-iQfyO7E,Live,AutoChess Moba,,Game,FALSE,04:16:43,21:00,01:16,,
58,Menerka-nerka genggamanmu,974,10-December-2022,https://www.youtube.com/watch?v=4CrUE_EZsqc,Live,,,Free Talk,FALSE,04:54:08,20:00,00:54,,
59,Bermain roda kehidupan~,702,12-December-2022,https://www.youtube.com/watch?v=AhR31sTYhPc,Live,,GACHAINDIRA,Free Talk,FALSE,03:05:18,21:12,00:17,,
60,MAIIIIIIIN,900,14-December-2022,https://youtu.be/e0iclmYF7qk,Live,Unpacking,,Game,FALSE,04:42:39,21:00,01:42,,
61,Menjadi bocil teori ,504,15-December-2022,https://www.youtube.com/watch?v=RLgLP637Ptw,Live,,Jurnal Dira,Free Talk,FALSE,01:58:20,20:00,21:58,,
62,Mengamen di telingamu~,1209,16-December-2022,https://www.youtube.com/watch?v=OhBVlZkYKjw,Live,,,Karaoke,FALSE,05:03:35,19:00,00:03,,
63,Belajar mengerti cwk,801,17-December-2022,https://www.youtube.com/watch?v=Ox1UX1w8f2M,Live,,Study With Me,Free Talk,FALSE,03:30:30,20:30,00:00,,
64,Ngobrol depan rumah Bu Sri~,1074,23-December-2022,https://www.youtube.com/watch?v=DqXMJKeeIxM,Live,,,Free Talk,FALSE,03:27:33,21:00,00:27,,
65,"Ngobrol tapi bisik bisik aja, biar cuma kamu yang denger~",531,24-December-2022,https://youtu.be/XJ6zRKUAOFg,Live,,,Free Talk,FALSE,02:05:45,21:00,23:05,,
66,Aku aslinya setia~,612,25-December-2022,https://www.youtube.com/watch?v=yg_TM1GLqWw,Live,Selingkuh Simulator,,Game,FALSE,01:28:29,20:30,21:58,,
67,Nemenin kalian yang sekepian~,959,25-December-2022,https://www.youtube.com/watch?v=Oj3DqrMBfLQ,Live,,Guerilla,Free Talk,FALSE,02:21:21,22:45,01:06,,
68,Kangen ya?,851,31-December-2022,https://youtu.be/RgsUEuyQw5A,Live,,,Free Talk,FALSE,02:49:09,22:00,00:49,,
69,Kangen kan? :p,775,01-January-2023,https://www.youtube.com/watch?v=EocDGWtVcCQ,Live,,,Free Talk,FALSE,02:19:40,22:30,00:49,,